Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
Kia e-Soul 39 kWh,230 km,"39,2 kWh",170 Wh/km,0 kg,37 kW,1.593 kg,"9,6 sec",209 km,€144 /km,315 L,"€33,133",N/A,N/A
Fiat E-Ulysse L3 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,1.989 kg,"12,1 sec",191 km,€317 /km,800 L,"€56,990",N/A,N/A
Citroen e-SpaceTourer M 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,2.027 kg,"13,3 sec",191 km,€250 /km,603 L,"€46,230",N/A,"£38,135"
Opel Zafira-e Life L3 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,2.056 kg,"13,3 sec",191 km,€274 /km,989 L,"€48,550","€49,963",N/A
Opel Zafira-e Life L 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,1.989 kg,"12,1 sec",191 km,€321 /km,unknown,"€64,075","€59,119","£43,575"
Citroen e-SpaceTourer XL 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,1.989 kg,"12,1 sec",191 km,€291 /km,912 L,"€54,430","€59,019","£37,885"
Opel Zafira-e Life M 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"12,1 sec",198 km,€306 /km,unknown,"€63,250","€57,183","£42,735"
Mercedes-Benz EQV 250 Long,205 km,"60,0 kWh",293 Wh/km,0 kg,60 kW,2.576 kg,"12,0 sec",193 km,€332 /km,1.030 L,"€68,056",N/A,N/A
Peugeot e-Expert Combi Long 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.989 kg,"13,1 sec",198 km,€278 /km,989 L,"€52,730","€50,289",N/A
Toyota PROACE Shuttle M 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"12,1 sec",198 km,€318 /km,550 L,N/A,"€58,895",N/A
Citroen e-Jumpy Combi XL 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,1.989 kg,"12,1 sec",191 km,€285 /km,912 L,"€52,730","€49,944",N/A
Porsche Taycan Turbo Cross Turismo,425 km,"83,7 kWh",197 Wh/km,0 kg,216 kW,2.395 kg,"3,3 sec",538 km,€380 /km,489 L,"€165,848","€173,264","£126,800"
Mercedes-Benz EQV 250 Extra-Long,205 km,"60,0 kWh",293 Wh/km,0 kg,60 kW,2.606 kg,"12,0 sec",193 km,€336 /km,1.410 L,"€68,949",N/A,N/A
Toyota PROACE Shuttle L 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"13,1 sec",250 km,€268 /km,980 L,N/A,"€69,795",N/A
Opel Vivaro-e Combi S 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.932 kg,"12,1 sec",191 km,€268 /km,140 L,"€49,623",N/A,N/A
Fiat E-Ulysse L2 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"12,1 sec",198 km,€303 /km,450 L,"€55,990",N/A,N/A
Citroen e-SpaceTourer XS 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.932 kg,"12,1 sec",191 km,€275 /km,140 L,"€50,880",N/A,N/A
Citroen e-Jumpy Combi XS 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.932 kg,"12,1 sec",191 km,€246 /km,140 L,"€49,080","€41,780",N/A
Peugeot e-Traveller Compact 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.932 kg,"12,1 sec",191 km,€275 /km,unknown,"€50,880",N/A,N/A
Peugeot e-Traveller Long 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.989 kg,"13,1 sec",198 km,€295 /km,989 L,"€54,430","€59,364","£43,625"
Peugeot e-Expert Combi Compact 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.932 kg,"12,1 sec",191 km,€243 /km,unknown,"€49,080","€40,790",N/A
Smart ForTwo Cabrio Electric Drive,95 km,"16,7 kWh",176 Wh/km,0 kg,0 kW,1.115 kg,"11,8 sec",65 km,€258 /km,260 L,"€25,200","€27,043","£18,560"
Opel Zafira-e Life S 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.932 kg,"12,1 sec",191 km,€306 /km,unknown,"€56,700",N/A,N/A
Toyota PROACE Shuttle L 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,1.989 kg,"12,1 sec",191 km,€381 /km,980 L,N/A,"€68,595",N/A
Citroen e-SpaceTourer XL 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"13,3 sec",250 km,€247 /km,912 L,"€60,430","€68,033",N/A
